  5487 44.63444  9.40833   421 -9999	 7
  5488 45.00111  9.87666    68    68	-1
  5489 44.90527  9.81527   121   121	-1
  5490 44.90138  9.58194    62    62	-1
  5491 44.49222  9.63138   500   500	-1
  5492 44.81694 10.21861    70    70	-1
  5493 44.80444 10.16694    90    90	-1
  5494 44.91250 10.24833    45    45	-1
  5498 44.67027 10.90000    55    55	-1
  5499 44.23722 10.51638  1229  1229	 6
  5500 44.43027 10.66694   253   253	-1
  5501 44.17777 10.81805  1324  1324	 5
  5502 44.21527 10.63027   751   751	-1
  5503 44.20388 10.79888   532   532	-1
  5504 44.68055 10.94833    40    40	-1
  5505 44.65138 10.79583    58    58	-1
  5506 44.51055 10.88083   142   142	-1
  5507 44.53472 11.03194    68    68	-1
  5508 44.17361 10.64805   953   953	-1
  5509 44.24833 10.46694  1051  1051	 5
  5510 44.29694 10.31805  1185  1185	 5
  5511 44.77972 10.58222    62    62	-1
  5512 44.56694 10.46694   519   519	 5
  5513 44.63444 10.47527   178   178	 6
  5514 44.62444 10.56944   145   145	-1
  5515 44.29916 10.23833  1339  1339	 5
  5516 44.64777 10.79000    69    69	-1
  5517 44.43777 10.23833   495   495	-1
  5518 44.46694 10.32527   376   376	-1
  5519 44.49361 10.33000   345   345	-1
  5520 44.87750  9.49194   567   567	 7
  5521 44.40222 10.47138   405   405	-1
  5522 44.84500 10.45472    43    43	-1
  5523 44.85444 10.64111    35    35	-1
  5525 44.90500  9.33277   292   292	-1
  5526 44.87055  9.72361   214   214	-1
  5527 44.82000  9.83194   228   228	-1
  5528 44.82000  9.67666   432   432	 8
  5529 44.83972  9.33361   589   589	 8
  5530 44.94361  9.79833    97    97	-1
  5531 44.75194  9.77583   366   366	 8
  5532 44.91611 10.11000    66    66	-1
  5533 44.61500  9.98638    78    78	-1
  5534 44.69722 10.09277   161   161	-1
  5535 44.59361  9.76750   560   560	 7
  5536 44.72722  9.93444   436   436	 8
  5537 44.63027  9.86805   840   840	 7
  5538 44.62083  9.63500   716   716	 7
  5539 44.81472  9.98611   183   183	-1
  5540 44.51777 10.38166   591   591	 5
  5541 44.34361 10.73000   755   755	 5
  5544 44.69472  9.68472  1110  1110	-1
  5545 44.81972  9.49861   250   250	 7
  5547 44.87111  9.23777   545 -9999	 7
  5548 44.52805  9.54833   960   960	 7
  5549 44.56861  9.88666   547   547	 7
  5551 44.80666 10.32500    68    68	-1
  5552 44.71500  9.79833   807   807	 7
  5553 44.44777  9.69944   520   520	 7
  5554 44.56527  9.67944   805   805	 7
  5555 44.64916  9.82083   460   460	-1
  5556 44.44472  9.78444   776   482 	 7
  5557 44.26111 10.39833  1729  1729	 5
  5558 44.59972  9.58666   880   880	 7
  5559 44.43277 10.99333   482   482	 5
  5560 44.50027 10.60638     0 -9999	 5
  5561 44.49527  9.34666   809   809	 7
  5565 44.60472  9.23638     0     0	 7
  5566 44.48305  9.24277     0 -9999	 7
  5567 44.82583  9.72638     0     0	 8
  5568 44.57694  9.27722     0     0	 7
  5569 44.21000 10.48861  1533  1533	 5
  5570 44.58966 10.67316   117   117	 5
