B13205,Snowfall (grid-scale+convective; invented),Kg/m**2,200,2,153,255,1.0,0.0
B13206,Soil water content (invented),kg/m^2->Num,255,2,86,255,1.0,0.0
B13212,Leaf wetness duration (invented),s,200,0,192,2,1.0,0.0
B14018,Incoming short-wave radiation flux (surface),W/m^2,200,200,80,255,1.0,0.0
B14018,Incoming short-wave radiation flux (surface),W/m^2,200,200,80,0,1.0,0.0
B14019,Surface Albedo,Fraction,200,200,124,255,100.,0.0
B14019,Surface Albedo,Fraction,200,200,124,0,100.,0.0
B14019,Surface Albedo,Percent,255,2,84,255,1.0,0.0
B14021,Global solar radiation,W/m^2,255,4,7,0,1.0,0.0
B14192,Instantaneous sensible heat flux (invented),W/m^2,255,0,11,0,1.0,0.0
B14192,Instantaneous sensible heat flux (invented),W/m^2,255,2,122,255,1.0,0.0
B14192,Instantaneous sensible heat flux (invented),W/m^2,200,200,113,0,1.0,0.0
B14192,Instantaneous sensible heat flux (invented),W/m^2,200,200,113,255,1.0,0.0
B14193,Instantaneous latent heat flux (invented),W/m^2,255,0,10,0,1.0,0.0
B14193,Instantaneous latent heat flux (invented),W/m^2,255,2,121,255,1.0,0.0
B14193,Instantaneous latent heat flux (invented),W/m^2,200,200,112,0,1.0,0.0
B14193,Instantaneous latent heat flux (invented),W/m^2,200,200,112,255,1.0,0.0
B14194,Instantaneous direct solar radiation DWD (invented),W/m^2,200,201,22,255,1.0,0.0
B14194,Instantaneous direct solar radiation DWD (invented),W/m^2,78,201,22,255,1.0,0.0
B14195,Instantaneous diffuse solar radiation DWD (invented),W/m^2,200,201,23,255,1.0,0.0
B14195,Instantaneous diffuse solar radiation DWD (invented),W/m^2,78,201,23,255,1.0,0.0
B14196,Net long-wave radiation flux (surface),W/m^2,200,200,111,0,1.0,0.0
B14196,Net long-wave radiation flux (surface),W/m^2,200,200,111,255,1.0,0.0
B14196,Net long-wave radiation flux (surface),W/m^2,255,2,112,255,1.0,0.0
B14197,Net short-wave radiation flux (surface),W/m^2,200,200,110,0,1.0,0.0
B14197,Net short-wave radiation flux (surface),W/m^2,200,200,110,255,1.0,0.0
B14197,Net short-wave radiation flux (surface),W/m^2,255,2,111,255,1.0,0.0
B15192,NO concentration (invented),ppb,200,200,152,0,0.00000000125,0.0
B15192,NO concentration (invented),ppb,200,200,152,255,0.00000000125,0.0
B15192,NO concentration (invented),ppb,201,200,152,0,0.00000000125,0.0
B15192,NO concentration (invented),ppb,201,200,152,255,0.00000000125,0.0
B15193,NO2 concentration (invented),ppb,200,200,153,0,0.00000000191,0.0
B15193,NO2 concentration (invented),ppb,200,200,153,255,0.00000000191,0.0
B15193,NO2 concentration (invented),ppb,201,200,153,0,0.00000000191,0.0
B15193,NO2 concentration (invented),ppb,201,200,153,255,0.00000000191,0.0
B15194,O3 concentration (invented),ppb,200,200,151,0,0.000000002,0.0
B15194,O3 concentration (invented),ppb,200,200,151,255,0.000000002,0.0
B15194,O3 concentration (invented),ppb,201,200,151,0,0.000000002,0.0
B15194,O3 concentration (invented),ppb,201,200,151,255,0.000000002,0.0
B15195,PM10 concentration (invented),ug/m**3,200,195,1,0,0.000000001,0.0
B15195,PM10 concentration (invented),ug/m**3,200,195,1,255,0.000000001,0.0
B15195,PM10 concentration (invented),ug/m**3,200,200,220,0,0.000000001,0.0
B15195,PM10 concentration (invented),ug/m**3,200,200,220,255,0.000000001,0.0
B15195,PM10 concentration (invented),ug/m**3,201,200,220,0,0.000000001,0.0
B15195,PM10 concentration (invented),ug/m**3,201,200,220,255,0.000000001,0.0
B15196,CO concentration (invented),ppb,200,200,154,0,0.00000000116,0.0
B15196,CO concentration (invented),ppb,200,200,154,255,0.00000000116,0.0
B15196,CO concentration (invented),ppb,201,200,154,0,0.00000000116,0.0
